time	V(bus02)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
1.844134686898871e-02	8.390973e-01	7.492229e-01	8.698335e-01	1.077933e+00	1.422067e+00
1.853900311898871e-02	8.392377e-01	7.492013e-01	8.699740e-01	1.073050e+00	1.426950e+00
1.863665936898871e-02	8.393660e-01	7.491823e-01	8.700973e-01	1.068167e+00	1.431833e+00
1.873431561898872e-02	8.394843e-01	7.491655e-01	8.702067e-01	1.063284e+00	1.436716e+00
1.883197186898872e-02	8.395946e-01	7.491505e-01	8.703049e-01	1.058401e+00	1.441599e+00
1.892962811898872e-02	8.396986e-01	7.491367e-01	8.703941e-01	1.053519e+00	1.446481e+00
1.902728436898872e-02	8.397973e-01	7.491241e-01	8.704762e-01	1.048636e+00	1.451364e+00
1.912494061898872e-02	8.398919e-01	7.491123e-01	8.705527e-01	1.043753e+00	1.456247e+00
1.932025311898872e-02	8.400716e-01	7.490907e-01	8.706930e-01	1.033987e+00	1.466013e+00
1.951556561898873e-02	8.402426e-01	7.490709e-01	8.708218e-01	1.024222e+00	1.475778e+00
1.980853436898873e-02	8.404888e-01	7.490431e-01	8.710022e-01	1.009573e+00	1.490427e+00
2.000938093810113e-02	8.406378e-01	7.490266e-01	8.711098e-01	1.000469e+00	1.499531e+00
2.033602657151691e-02	8.403685e-01	7.490567e-01	8.709147e-01	1.016801e+00	1.483199e+00
2.062899532151691e-02	8.401167e-01	7.490855e-01	8.707275e-01	1.031450e+00	1.468550e+00
2.082430782151691e-02	8.399396e-01	7.491066e-01	8.705907e-01	1.041215e+00	1.458785e+00
2.092196407151692e-02	8.398468e-01	7.491180e-01	8.705168e-01	1.046098e+00	1.453902e+00
2.101962032151692e-02	8.397504e-01	7.491302e-01	8.704377e-01	1.050981e+00	1.449019e+00
2.111727657151692e-02	8.396493e-01	7.491433e-01	8.703524e-01	1.055864e+00	1.444136e+00
2.121493282151692e-02	8.395425e-01	7.491577e-01	8.702591e-01	1.060747e+00	1.439253e+00
2.131258907151692e-02	8.394285e-01	7.491736e-01	8.701558e-01	1.065629e+00	1.434371e+00
2.141024532151692e-02	8.393058e-01	7.491915e-01	8.700402e-01	1.070512e+00	1.429488e+00
2.150790157151692e-02	8.391719e-01	7.492116e-01	8.699091e-01	1.075395e+00	1.424605e+00
2.160555782151692e-02	8.390247e-01	7.492347e-01	8.697590e-01	1.080278e+00	1.419722e+00
2.170321407151693e-02	8.388608e-01	7.492615e-01	8.695855e-01	1.085161e+00	1.414839e+00
2.180087032151693e-02	8.386768e-01	7.492926e-01	8.693834e-01	1.090044e+00	1.409956e+00
2.189852657151693e-02	8.384682e-01	7.493291e-01	8.691464e-01	1.094926e+00	1.405074e+00
2.199618282151693e-02	8.382299e-01	7.493721e-01	8.688673e-01	1.099809e+00	1.400191e+00
